2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
2026-04-15 06:53:08 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble ENJ/USDT SUPPRESS: score=-4.7 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, basis, onchain, whale_intent)
2026-04-15 06:53:08 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble HYPE/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:53:26 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:53:41 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:53:59 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: NOM/USDT PriceAction R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:54:35 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble FET/USDT SUPPRESS: score=-4.7 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, basis, onchain, whale_intent)
2026-04-15 06:55:10 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:55:24 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BCH/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:55:27 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=17.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:55:45 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT InstitutionalBreakout R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:56:53 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:57:08 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:57:10 | WARNING  | analyzers.market_microstructure     | market_microstructure.py:1040 | 🚨 PUMP/DUMP PUMP: RED/USDT price=+5.1% volume=+157% risk=MEDIUM no_trade=False news_correlated=False
2026-04-15 06:57:25 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AIOT/USDT PriceAction R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:58:35 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: BR/USDT SmartMoneyConcepts R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:58:37 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:58:55 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=8.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:59:10 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT InstitutionalBreakout R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:59:58 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BZ/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 07:00:00 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: MYX/USDT PriceAction R/R=7.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:00:23 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:00:40 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:00:43 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AIOT/USDT PriceAction R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:00:59 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: NOM/USDT PriceAction R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:02:11 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: BR/USDT SmartMoneyConcepts R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:02:11 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:02:34 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=8.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:02:52 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT SmartMoneyConcepts R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:03:37 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: MYX/USDT PriceAction R/R=8.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:04:18 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:04:22 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:04:39 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AIOT/USDT PriceAction R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:04:41 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: BEAT/USDT PriceAction R/R=7.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 07:06:09 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: BR/USDT SmartMoneyConcepts R/R=6.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
